epoch,precision,recall,ndcg
0,0.0001875544242749009,0.0005374940775551192,0.0004082861600899296
10,0.03640397883314354,0.1195765275408462,0.10020395830834751
20,0.03956058677741315,0.13105724026767798,0.10828292152338964
30,0.041888271150110526,0.13900776760894987,0.11494120983657828
40,0.043440618929600085,0.14435876034815312,0.11974951753299232
50,0.044619532453613726,0.14851090300485337,0.12378626008534571
60,0.04584198539754843,0.1528044078980619,0.127453688332561
70,0.046709424609819826,0.15572864762649566,0.1298547904768033
80,0.04751657847143143,0.15847391874909517,0.13227251464572137
90,0.04816799517717196,0.1606099330627531,0.13470380254035746
100,0.04878926920758259,0.1627760138702698,0.13669157546305172
110,0.04939882108647599,0.16463591837886915,0.13821449908481545
120,0.049916270346305865,0.1660252536049615,0.13997500958897494
130,0.05033491861477662,0.1676800859171556,0.14113056740339291
140,0.05091097863219239,0.1692464579848632,0.14237702783958536
150,0.05114039788331438,0.17007690035078582,0.1433637581422057
160,0.05149038783575592,0.17104288705751677,0.1442956529717005
170,0.05170975952843461,0.17154831197212023,0.144923565395386
180,0.052064773260097764,0.17237072440916265,0.14587847195329445
190,0.05223055797441223,0.17280825065913158,0.14639327313515085
200,0.05249011990086408,0.17327314259423704,0.14702915297764566
210,0.052679348918212916,0.17435349502053826,0.14756546012677293
220,0.05296402974077301,0.17512796469759362,0.14840475769422756
230,0.053114743117422494,0.17555643100348686,0.14895366396990867
240,0.05320349655033827,0.17580126102779223,0.14932261615949505
250,0.05331234510014066,0.17629704259254672,0.14949969348925932
260,0.05347645522138119,0.17653006516905406,0.15006009914460816
270,0.05352501842052378,0.17665824334140054,0.15018882178244225
280,0.05358697836425744,0.17675027937956797,0.15021207904445968
290,0.053501574117489445,0.17607289023550024,0.15018407950004306
300,0.05375946145086746,0.17683952754200447,0.150540178705662
310,0.053915198606738546,0.1775073015462384,0.15095878579881872
320,0.05390850023444302,0.17727494156561446,0.15088192471449827
330,0.0539821823296939,0.1774192441930569,0.15102431208737516
340,0.0540273963426887,0.17788486255755964,0.15133401248211312
350,0.05427858530377117,0.178379199748096,0.15155717505586597
360,0.05434556902672648,0.1787446683618458,0.15180899800882736
370,0.054513028334114776,0.17875949730783394,0.1517892939611102
380,0.05454819478866635,0.17923156472179091,0.15196551116880355
390,0.054539821823296905,0.17926388441052848,0.15204851149735574
400,0.054466139728046065,0.1786586111569649,0.1519687495662156
410,0.05471565409605465,0.17951028949404269,0.1524421527247422
420,0.05480775671511823,0.17954043161934133,0.15238004569788793
430,0.054611829325473885,0.17893170567096006,0.1522336334739407
440,0.05463527362850827,0.17885896220025319,0.15215793036403646
450,0.05458671042936568,0.17823417012610293,0.15191005957474585
460,0.05484962154196529,0.17939163807040476,0.15210780636980747
470,0.05505727108312678,0.17985104664270343,0.15265883853176407
480,0.054914930671846746,0.17929109286039493,0.15271685558337803
490,0.05507736620001346,0.1797166828183202,0.1530571287520537
500,0.05520798445977625,0.17986171349327573,0.1532482109842058
510,0.05512090561993435,0.17935562405575872,0.1529419750780192
520,0.054988612767097586,0.17937868618654843,0.15295732248867858
530,0.05512592939915604,0.17985673237980232,0.1531597224723757
540,0.05507736620001339,0.17964289330061067,0.1530283337417566
550,0.05517616719137249,0.1800500270266405,0.15334771720819768
560,0.05524147632125392,0.18013016203120133,0.15339152414113372
570,0.055293388706544294,0.180393473410422,0.1533888927385515
580,0.05551610958537076,0.18087708628265475,0.15364199745880786
590,0.055547926853774555,0.1810495198385219,0.15352615977818296
600,0.055432379931676594,0.18059643948020526,0.15349297090108374
610,0.055333578940317506,0.18023293491961112,0.15322855668004268
620,0.05542903074552885,0.18043125034672922,0.1536277692852548
630,0.05551108580614917,0.18062648951736848,0.1538222139805061
640,0.05559314086676937,0.1808909356133205,0.153855767228873
650,0.05551276039922298,0.18089056422197272,0.15382384966742702
660,0.055566347377587234,0.18094335068586612,0.15414339128764865
670,0.05548931609618862,0.1809370730104621,0.1536053987223611
680,0.05554122848147896,0.1810553557866229,0.15357796949471547
690,0.05560151383213881,0.1812777903588072,0.15396004373748498
700,0.055656775403576934,0.18145939451234122,0.15415580413990568
710,0.055584767901399885,0.18103045977294419,0.1540262518905071
720,0.05561323598365594,0.18117601923941917,0.15416748830973814
730,0.05571203697501509,0.18159720416616118,0.15452603814941912
740,0.05571203697501508,0.18176872810143724,0.15428425846753596
750,0.05577734610489651,0.18164057787681054,0.1542677781578794
760,0.05564337865898588,0.18164895721168095,0.15392970099476141
770,0.05575725098800991,0.18184207251255144,0.15430049191092712
780,0.05566347377587246,0.18136957069294457,0.15410833717780972
790,0.055718735347310575,0.18151774432212775,0.15399425585341361
800,0.055755576394936,0.18166057203495775,0.15436709051447753
810,0.055722084533458324,0.1815655425736372,0.15439875261067884
820,0.055834282269408536,0.18200921275470935,0.15437567169664765
830,0.05582088552481745,0.18176679016904512,0.15444573671990086
840,0.05582590930403912,0.1819216531791943,0.15455792409245203
850,0.05568021970661127,0.18159286455398016,0.15442524142649644
860,0.05583930604863018,0.18185639566534623,0.15462378478717714
870,0.05566682296202024,0.18136252755470128,0.154177045944049
880,0.05566179918279855,0.18133586128326093,0.15428353081196625
890,0.05573715587112335,0.18150091673051694,0.15457237454227507
900,0.0558376314555563,0.18232704093085136,0.1546439030934186
910,0.05571538616116281,0.18137185325865693,0.15438278493885102
920,0.055688592671980716,0.18120491595057625,0.15410998680393526
930,0.05569194185812848,0.18141294104324554,0.1542658807847586
940,0.055748878022640475,0.18150526256486912,0.1543322734245836
950,0.055752227208788266,0.1814907800870034,0.154614671918009
960,0.055830933083260745,0.18158817512851502,0.15435796023061557
970,0.05568859267198072,0.18141479679680012,0.154319990268627
980,0.05581586174559586,0.18182414214716255,0.15447764449128606
990,0.05587447250318173,0.18190340953598472,0.15455730308555557
